agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	1999-10-01	34.0	A:e
USGS	09066325	1999-10-02	33.0	A:e
USGS	09066325	1999-10-03	31.0	A:e
USGS	09066325	1999-10-04	29.0	A:e
USGS	09066325	1999-10-05	29.0	A:e
USGS	09066325	1999-10-06	31.0	A:e
USGS	09066325	1999-10-07	37.0	A
USGS	09066325	1999-10-08	38.0	A
USGS	09066325	1999-10-09	38.0	A
USGS	09066325	1999-10-10	36.0	A
USGS	09066325	1999-10-11	33.0	A
USGS	09066325	1999-10-12	31.0	A
USGS	09066325	1999-10-13	30.0	A
USGS	09066325	1999-10-14	29.0	A
USGS	09066325	1999-10-15	28.0	A
USGS	09066325	1999-10-16	27.0	A
USGS	09066325	1999-10-17	23.0	A
USGS	09066325	1999-10-18	29.0	A
USGS	09066325	1999-10-19	27.0	A
USGS	09066325	1999-10-20	26.0	A
USGS	09066325	1999-10-21	26.0	A
USGS	09066325	1999-10-22	25.0	A
USGS	09066325	1999-10-23	24.0	A
USGS	09066325	1999-10-24	23.0	A
USGS	09066325	1999-10-25	23.0	A
USGS	09066325	1999-10-26	22.0	A
USGS	09066325	1999-10-27	22.0	A
USGS	09066325	1999-10-28	22.0	A
USGS	09066325	1999-10-29	21.0	A:e
USGS	09066325	1999-10-30	20.0	A:e
USGS	09066325	1999-10-31	19.0	A:e
USGS	09066325	1999-11-01	14.0	A:e
USGS	09066325	1999-11-02	11.0	A:e
USGS	09066325	1999-11-03	11.0	A:e
USGS	09066325	1999-11-04	14.0	A:e
USGS	09066325	1999-11-05	16.0	A:e
USGS	09066325	1999-11-06	18.0	A:e
USGS	09066325	1999-11-07	18.0	A
USGS	09066325	1999-11-08	17.0	A:e
USGS	09066325	1999-11-09	17.0	A:e
USGS	09066325	1999-11-10	16.0	A:e
USGS	09066325	1999-11-11	18.0	A:e
USGS	09066325	1999-11-12	17.0	A:e
USGS	09066325	1999-11-13	16.0	A:e
USGS	09066325	1999-11-14	14.0	A
USGS	09066325	1999-11-15	17.0	A:e
USGS	09066325	1999-11-16	17.0	A
USGS	09066325	1999-11-17	21.0	A
USGS	09066325	1999-11-18	20.0	A
USGS	09066325	1999-11-19	13.0	A
USGS	09066325	1999-11-20	19.0	A
USGS	09066325	1999-11-21	21.0	A
USGS	09066325	1999-11-22	20.0	A
USGS	09066325	1999-11-23	19.0	A
USGS	09066325	1999-11-24	14.0	A
USGS	09066325	1999-11-25	20.0	A
USGS	09066325	1999-11-26	23.0	A
USGS	09066325	1999-11-27	22.0	A
USGS	09066325	1999-11-28	20.0	A
USGS	09066325	1999-11-29	18.0	A
USGS	09066325	1999-11-30	18.0	A
USGS	09066325	1999-12-01	18.0	A
USGS	09066325	1999-12-02	21.0	A
USGS	09066325	1999-12-03	21.0	A
USGS	09066325	1999-12-04	20.0	A
USGS	09066325	1999-12-05	15.0	A
USGS	09066325	1999-12-06	18.0	A
USGS	09066325	1999-12-07	19.0	A
USGS	09066325	1999-12-08	20.0	A
USGS	09066325	1999-12-09	18.0	A
USGS	09066325	1999-12-10	20.0	A
USGS	09066325	1999-12-11	20.0	A
USGS	09066325	1999-12-12	19.0	A
USGS	09066325	1999-12-13	18.0	A
USGS	09066325	1999-12-14	18.0	A
USGS	09066325	1999-12-15	19.0	A
USGS	09066325	1999-12-16	20.0	A
USGS	09066325	1999-12-17	21.0	A
USGS	09066325	1999-12-18	21.0	A
USGS	09066325	1999-12-19	21.0	A
USGS	09066325	1999-12-20	22.0	A
USGS	09066325	1999-12-21	22.0	A
USGS	09066325	1999-12-22	22.0	A
USGS	09066325	1999-12-23	22.0	A
USGS	09066325	1999-12-24	21.0	A
